Record;Type;Sample Name;Measurement Date and Time;T, °C;ZP, mV;Mob, µmcm/Vs;Cond, mS/cm
136;Zeta;4HASR3 2;22. huhtikuuta 2024 16:43:11;25;-20,7;-1,622;0,572
137;Zeta;4HASR3 3;22. huhtikuuta 2024 16:43:50;25;-21,4;-1,678;0,583
171;Zeta;2DNASR3HA 1;25. huhtikuuta 2024 13:30:05;24,9;-25,4;-1,991;0,639
172;Zeta;2DNASR3HA 2;25. huhtikuuta 2024 13:31:25;24,9;-26,8;-2,097;0,664
173;Zeta;2DNASR3HA 3;25. huhtikuuta 2024 13:32:05;25;-26,6;-2,086;0,683
174;Zeta;3DNASR3HA 1;25. huhtikuuta 2024 13:35:36;25;-25,1;-1,971;0,573
175;Zeta;3DNASR3HA 2;25. huhtikuuta 2024 13:36:55;25;-25,6;-2,008;0,593
176;Zeta;3DNASR3HA 3;25. huhtikuuta 2024 13:37:34;24,9;-26,2;-2,056;0,606
177;Zeta;4DNASR3HA 1;25. huhtikuuta 2024 13:40:28;24,9;-21,5;-1,682;0,563
178;Zeta;4DNASR3HA 2;25. huhtikuuta 2024 13:41:47;25;-22;-1,727;0,58
179;Zeta;4DNASR3HA 3;25. huhtikuuta 2024 13:42:26;25;-22,7;-1,781;0,592
